store_id,name,address,city,latitude,longitude,phone,working_hours
0702,"ул. Уральская, д. 4, лит. Б","ул. Уральская, д. 4, лит. Б",,,,,
2667,"ул. Уральская, д. 29, лит. А","ул. Уральская, д. 29, лит. А",,,,,
0272,"пер. Урхов, д. 7, лит. А","пер. Урхов, д. 7, лит. А",,,,,
3535,"пр. Финляндский, д. 4","пр. Финляндский, д. 4",,,,,
0012,"ул. Хасанская, д. 17, лит. А","ул. Хасанская, д. 17, лит. А",,,,,
2512,"ул. Хасанская, д. 17, лит. А","ул. Хасанская, д. 17, лит. А",,,,,
0750,"пр. Художников, д. 11","пр. Художников, д. 11",,,,,
0713,"пр. Чкаловский, д. 50, лит. А","пр. Чкаловский, д. 50, лит. А",,,,,
0003,"ул. Шереметьевская, д. 11, лит. А","ул. Шереметьевская, д. 11, лит. А",,,,,
2505,"ул. Шереметьевская, д. 11, лит. А","ул. Шереметьевская, д. 11, лит. А",,,,,
0716,"пр. Шуваловский, д. 40, к. 2","пр. Шуваловский, д. 40, к. 2",,,,,
0266,"пр. Шуваловский, д. 45, лит. А","пр. Шуваловский, д. 45, лит. А",,,,,
2320,"пр. Энгельса, д. 134","пр. Энгельса, д. 134",,,,,
0001,"пр. Энергетиков, д. 16, лит. А","пр. Энергетиков, д. 16, лит. А",,,,,
0778,"шоссе Южное, 45, к. 5","шоссе Южное, 45, к. 5",,,,,
0273,"пр. Юрия Гагарина, д. 34/2, лит. Б","пр. Юрия Гагарина, д. 34/2, лит. Б",,,,,
0704,"пр. Юрия Гагарина, д. 71, лит. А","пр. Юрия Гагарина, д. 71, лит. А",,,,,
0785,"г.п. Аннинское, дер. Пески, территория Общественно-деловая зона Пески, стр. 2/1","г.п. Аннинское, дер. Пески, территория Общественно-деловая зона Пески, стр. 2/1",,,,,
2321,"дер. Бор, аллея Березовая, д. 8а","дер. Бор, аллея Березовая, д. 8а",,,,,
0214,"п. Бугры, ул. Южная, стр. 5","п. Бугры, ул. Южная, стр. 5",,,,,
2507,"п. Бугры, ул. Южная, стр. 5","п. Бугры, ул. Южная, стр. 5",,,,,
